"Date","Price","Open","High","Low","Vol.","Change %"
"10/19/2019","0.0390","0.0379","0.0395","0.0376","236.65M","2.78%"
"10/18/2019","0.0379","0.0393","0.0395","0.0374","222.44M","-3.59%"
"10/17/2019","0.0393","0.0384","0.0394","0.0378","198.74M","2.43%"
"10/16/2019","0.0384","0.0396","0.0398","0.0376","246.41M","-2.99%"
"10/15/2019","0.0396","0.0417","0.0419","0.0391","261.20M","-4.96%"
"10/14/2019","0.0417","0.0412","0.0420","0.0408","240.19M","1.01%"
"10/13/2019","0.0412","0.0404","0.0416","0.0403","192.66M","2.07%"
"10/12/2019","0.0404","0.0401","0.0409","0.0400","190.00M","0.80%"
"10/11/2019","0.0401","0.0416","0.0422","0.0400","348.12M","-3.63%"
"10/10/2019","0.0416","0.0424","0.0425","0.0406","310.91M","-1.87%"
"10/09/2019","0.0424","0.0412","0.0434","0.0408","401.89M","2.83%"
"10/08/2019","0.0412","0.0414","0.0421","0.0403","375.15M","-0.40%"
"10/07/2019","0.0414","0.0389","0.0418","0.0382","492.98M","6.53%"
"10/06/2019","0.0389","0.0397","0.0400","0.0381","247.92M","-2.00%"
"10/05/2019","0.0397","0.0393","0.0397","0.0386","246.76M","0.86%"
"10/04/2019","0.0393","0.0382","0.0402","0.0375","317.59M","3.04%"
"10/03/2019","0.0382","0.0392","0.0396","0.0375","273.51M","-2.72%"
"10/02/2019","0.0392","0.0382","0.0394","0.0377","221.97M","2.50%"
"10/01/2019","0.0383","0.0389","0.0399","0.0381","282.95M","-1.54%"
"09/30/2019","0.0389","0.0372","0.0393","0.0360","394.71M","4.38%"
"09/29/2019","0.0372","0.0386","0.0387","0.0361","313.46M","-3.63%"
"09/28/2019","0.0386","0.0391","0.0395","0.0380","326.49M","-1.23%"
"09/27/2019","0.0391","0.0382","0.0397","0.0370","589.12M","2.52%"
"09/26/2019","0.0382","0.0391","0.0401","0.0350","899.92M","-2.50%"
"09/25/2019","0.0391","0.0372","0.0402","0.0359","1.02B","5.10%"
"09/24/2019","0.0372","0.0462","0.0465","0.0349","1.04B","-19.49%"
"09/23/2019","0.0462","0.0489","0.0494","0.0460","504.21M","-5.41%"
"09/22/2019","0.0489","0.0518","0.0518","0.0477","584.70M","-5.60%"
"09/21/2019","0.0518","0.0524","0.0533","0.0512","387.24M","-1.23%"
"09/20/2019","0.0524","0.0523","0.0525","0.0503","497.15M","0.21%"
"09/19/2019","0.0523","0.0531","0.0545","0.0495","801.63M","-1.45%"
"09/18/2019","0.0531","0.0489","0.0555","0.0489","847.50M","8.63%"
"09/17/2019","0.0489","0.0470","0.0507","0.0469","505.25M","3.91%"
"09/16/2019","0.0470","0.0466","0.0475","0.0457","249.11M","0.82%"
"09/15/2019","0.0466","0.0464","0.0470","0.0461","212.27M","0.50%"
"09/14/2019","0.0464","0.0457","0.0471","0.0448","297.11M","1.62%"
"09/13/2019","0.0457","0.0454","0.0458","0.0449","181.24M","0.65%"
"09/12/2019","0.0454","0.0449","0.0462","0.0443","219.10M","1.10%"
"09/11/2019","0.0449","0.0465","0.0469","0.0444","295.49M","-3.43%"
"09/10/2019","0.0465","0.0468","0.0481","0.0457","274.02M","-0.72%"
"09/09/2019","0.0468","0.0465","0.0472","0.0453","335.45M","0.65%"
"09/08/2019","0.0465","0.0460","0.0475","0.0460","268.55M","1.18%"
"09/07/2019","0.0460","0.0442","0.0465","0.0437","215.41M","3.93%"
"09/06/2019","0.0442","0.0444","0.0446","0.0436","270.76M","-0.43%"
"09/05/2019","0.0444","0.0454","0.0454","0.0438","273.32M","-2.06%"
"09/04/2019","0.0454","0.0466","0.0467","0.0450","257.33M","-2.77%"
"09/03/2019","0.0467","0.0453","0.0474","0.0446","339.73M","2.95%"
"09/02/2019","0.0453","0.0444","0.0462","0.0433","286.87M","2.18%"
"09/01/2019","0.0444","0.0448","0.0452","0.0436","183.40M","-0.94%"
"08/31/2019","0.0448","0.0448","0.0454","0.0438","368.90M","0.00%"
"08/30/2019","0.0447","0.0445","0.0458","0.0441","514.26M","0.50%"
"08/29/2019","0.0445","0.0459","0.0459","0.0433","424.73M","-3.00%"
"08/28/2019","0.0459","0.0499","0.0503","0.0453","566.68M","-7.95%"
